numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
199914357P;LABORATOIRE D'ETUDE DES METHODES MODERNES D'ENSEIGNEMENT;EA3042;Inactive;1999;2002;Unité propre;21;2;200314964G;F;fusion;2003
199814145N;INSTITUT DE DROIT PUBLIC;IDP;Active;1998;;Unité propre;21;2;;;;
199814148S;METAPHYSIQUE ALLEMANDE ET PHILOSOPHIE PRATIQUE;MAPP;Active;1998;;Unité propre;21;2;;;;
199814151V;GEFSOD - GROUPE D'ETUDE SUR LA FONCTIONNALISATION DES SOLIDES DIVISES;EA2631;Inactive;1998;2006;Unité mixte;22;2;;;;
200014450L;LABORATOIRE CULTURE ET COMMUNICATION;EA3151;Inactive;2000;2009;Unité propre;21;2;;;;
200014453P;AROMES, SYNTHESES,  INTERACTIONS - ASI;EA3154;Inactive;2000;2005;Unité propre;21;2;;;;
200014460X;SYSTEMES-INFORMATION-SIGNAL (SIS);EA3161;Inactive;2000;2003;Unité propre;21;2;;;;
200014465C;"LABORATOIRE ""MAITRISE DES TECHNOLOGIES AGRO-INDUSTRIELLES""";EA3166;Inactive;2000;2007;Unité propre;21;2;200815463C;F;fusion;2008
199814232H;LABORATOIRE D'ETUDES DE L'ENVIRONNEMENT TERRESTRE ET DE TELECOMMUNICATION, TELEDETECTION, IMAGERIE;EA2716;Inactive;1998;2001;Unité propre;21;2;;;;
199814233J;LABORATOIRE D'ERGONOMIE PHYSIOLOGIQUE ET COGNITIVE;EA2717;Inactive;1998;2005;Unité propre;21;2;;;;
199814241T;LABORATOIRE D'ELECTROTECHNIQUE ET D'ELECTRONIQUE DE PUISSANCE ( en commun avec Lille 1 et Ecole Centrale de Lille );EA2726;Inactive;1998;2001;Unité propre;21;2;;;;
199814245X;CHAIRE DE PHILOSOPHIE DU LANGAGE ET DE LA CONNNAISSANCE;EA2731;Inactive;1998;2000;Unité propre;21;2;;;;
199814248A;CHAIRE DE LITTERATURE DE LA FRANCE MEDIEVALE;EA2734;Inactive;1998;2000;Unité propre;21;2;;;;
199814251D;CHAIRE DE LANGUES ET RELIGIONS INDO-IRANIENNES;EA2737;Inactive;1998;2000;Unité propre;21;2;;;;
199814252E;CHAIRE D'EQUATIONS DIFFERENTIELLES ET SYSTEMES DYNAMIQUES;EA2738;Inactive;1998;2000;Unité propre;21;2;;;;
199914266R;BIOLOGIE STRUCTURALE DE COMPLEXES MEMBRANAIRES;EA2944;Inactive;1999;2002;Unité propre;21;2;;;;
199914268T;CENTRE D'ETUDE DES LANGUES ET CULTURES ETRANGERES;EA2947;Inactive;1999;2002;Unité propre;21;2;;;;
199914269U;LABORATOIRE DE LOGICIELS POUR LA PRODUCTIQUE (LLP);EA2949;Inactive;1999;2002;Unité propre;21;2;200314973S;F;fusion;2003
199914270V;DYNAMIQUE DES ECOSYSTEMES D'ALTITUDE;EA2950;Inactive;1999;2002;Unité propre;21;2;;;;
199914273Y;CENTRE D'ETUDES ET DE RECHERCHE SUR LES DROITS AFRICAINS ET SUR LE DEVELOPPEMENT INSTITUTIONNEL DES PED (CERDRADI);EA2953;Inactive;1999;2006;Unité propre;21;2;;;;
199914275A;CENTRE D'ANALYSE POLITIQUE COMPAREE, DE GEOSTRATEGIE ET DE RELATIONS INTERNATIONALES (C.A.P.C.G.R.I.)  (C.A.P.C.);EA2955;Inactive;1999;2006;Unité propre;21;2;;;;
200114702F;LABORATOIRE DES SYSTEMES PHOTONIQUES;EA3426;Inactive;2001;2012;Unité mixte;22;2;;;;
200114705J;PATHOLOGIE DES COMMUNICATIONS ENTRE CELLULES NERVEUSES ET MUSCULAIRES;EA3429;Inactive;2001;2004;Unité propre;21;2;;;;
200114707L;IMMUNOPATHOLOGIE MOLECULAIRE ET CELLULAIRE;EA3431;Inactive;2001;2004;Unité propre;21;2;200515206L;EF;éclatement - fusion;2005
200114709N;SIGNALISATIONS MOLECULAIRES ET NEURODEGENERESCENCE;EA3433;Inactive;2001;2004;Unité propre;21;2;;;;
200114720A;EPIDEMIOLOGIE CLINIQUE, PREVENTION, QUALITE DE VIE;EA3444;Inactive;2001;2004;Unité propre;21;2;;;;
200014537F;INTERFACE PHYSIQUE - MEDECINE - BIOLOGIE;EA3239;Inactive;2000;2003;Unité propre;21;2;;;;
200014539H;CENTRE DE RECHERCHES EN MATIERE PENALE FERNAND BOULAN;EA3241;Inactive;2000;2011;Unité propre;21;2;201220364M;F;fusion;2012
200014540J;CENTRE DE DROIT DE LA SANTE;EA3242;Inactive;2000;2011;Unité propre;21;2;201220350X;EF;éclatement - fusion;2012
200014546R;PSYCHOBIOLOGIE DES EMOTIONS;EA3248;Inactive;2000;2007;Unité propre;21;2;200817517K;F;fusion;2008
200014550V;LIEUX ET ENJEUX DES MODERNITES MUSICALES;EA3252;Inactive;2000;2011;Unité propre;21;2;201220232U;F;fusion;2012
200014551W;CENTRE D'ETUDES DU DEBAT PUBLIC (CEDP);EA3253;Inactive;2000;2007;Unité propre;21;2;;;;
200014553Y;LABORATOIRE DE THERAPIE GENIQUE;EA3255;Inactive;2000;2003;Unité propre;21;2;;;;
200014562H;LABORATOIRE DE GEODYNAMIQUE DES RIFTS ET DES MARGES PASSIVES;EA3264;Inactive;2000;2007;Unité propre;21;2;;;;
200014573V;OBSERVATOIRE DE RECHERCHE EN LITTERATURE ACTUELLE(ORLAC);EA3275;Inactive;2000;2007;Unité propre;21;2;;;;
200014579B;LABORATOIRE DE BIOPATHOLOGIE DE L'ADHÉSION ET DE LA SIGNALISATION;EA3281;Inactive;2000;2007;Unité propre;21;2;200816537V;F;fusion;2008
200014580C;PARASITOLOGIE EXPERIMENTALE;EA3282;Inactive;2000;2007;Unité propre;21;2;200817431S;EF;éclatement - fusion;2008
200014590N;UNITE DES VIRUS EMERGENTS (VIROLOGIE MOLECULAIRE, TROPICALE ET TRANSFUSIONNELLE);EA3292;Inactive;2000;2007;Unité propre;21;2;;;;
200014630G;CENTRE D'HISTOIRE DE L'ISLAM CONTEMPORAIN;EA3333;Inactive;2000;2001;Unité propre;21;2;;;;
200014636N;LABORATOIRE DE GEOMORPHOLOGIE ET GESTION DES MILIEUX NATURELS;EA3339;Inactive;2000;2005;Unité propre;21;2;"200615271C;200617536P";"EF;EF";"éclatement - fusion;éclatement - fusion";"2006;2006"
200014648B;LABORATOIRE DE STATISTIQUE APPLIQUÉE DE L'UNIVERSITÉ DE BRETAGNE-SUD;EA3371;Inactive;2000;2007;Unité propre;21;2;;;;
200014654H;HISTOIRE ET ANTHROPOLOGIE DU MONDE CHINOIS;EA3377;Inactive;2000;2007;Unité propre;21;2;;;;
200014595U;Philosophies et Rationalités (EA 3297);PHIER;Active;2000;;Unité propre;21;2;;;;
200014599Y;EPISTEMOLOGIE, HISTOIRE DES SCIENCES BIOLOGIQUES ET MEDICALES;EA3302;Inactive;2000;2003;Unité propre;21;2;200415164V;R;renouvellement;2004
200014603C;GROUPE D'ETUDE SUR LES INTERACTIONS CELLULAIRES ET MOLECULAIRES EN CANCEROLOGIE;EA3306;Inactive;2000;2003;Unité propre;21;2;"200415057D;200415059F";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
200014604D;SIGNALISATION CELLULAIRE ET MATRICE EXTRACELLULAIRE;EA3307;Inactive;2000;2001;Unité propre;21;2;;;;
200014607G;CENTRE D'ETUDE DU PATRIMOINE LINGUISTIQUE ET ETHNOLOGIQUE DE CHAMPAGNE -ARDENNE;EA3310;Inactive;2000;2003;Unité propre;21;2;;;;
200014613N;LABORATOIRE D'ETUDES ET DE RECHERCHES SUR LES MATERIAUX, LES PROCEDES ET LES SURFACES;EA3316;Inactive;2000;2011;Unité propre;21;2;201221518S;F;fusion;2012
200014618U;CHIMIE DES SUBSTANCES NATURELLES;EA3321;Inactive;2000;2007;Unité propre;21;2;200815476S;EF;éclatement - fusion;2008
200014619V;GENETIQUE MOLECULAIRE HUMAINE;EA3322;Inactive;2000;2007;Unité propre;21;2;200815476S;EF;éclatement - fusion;2008
199914374H;LABORATOIRE DE RHEOLOGIE DES MATIERES PLASTIQUES;EA3060;Inactive;1999;2000;Unité propre;21;2;200117324F;R;renouvellement;2001
199914383T;CENTRE D'ETUDES SUR LES LITTERATURES ETRANGERES ET COMPAREES;EA3069;Inactive;1999;2010;Unité propre;21;2;;;;
199914390A;CENTRE DE RECHERCHE DE L'IAE;EA3076;Inactive;1999;2002;Unité propre;21;2;200314982B;E;éclatement;2003
199914391B;CENTRE DE DROIT DE LA FAMILLE;EA3077;Inactive;1999;2002;Unité propre;21;2;200314977W;F;fusion;2003
199914393D;LABORATOIRE D'AUTOMATIQUE INDUSTRIELLE;EA3079;Inactive;1999;2006;Unité propre;21;2;;;;
199914395F;CENTRE D'ETUDES ET DE RECHERCHES ANTHROPOLOGIQUES;CREA;Inactive;1999;2015;Unité propre;21;2;;;;
199914396G;LABORATOIRE D'ETUDE DES MECANISMES COGNITIFS;EMC;Active;1999;;Unité propre;21;2;;;;
199914403P;ESPACE ET ACTION;EA3089;Inactive;1999;2002;Unité propre;21;2;;;;
199914404R;BIOMATERIAUX ET REMODELAGES MATRICIELS;EA3090;Inactive;1999;2002;Unité propre;21;2;;;;
199914412Z;GROUPE D'ETUDES ET DE RECHERCHE SUR LA REGULATION ET LES MUTATIONS DES ECONOMIES - GERME;EA3101;Inactive;1999;2000;Unité propre;21;2;;;;
199914427R;INTERACTIONS GENE-ENVIRONNEMENT DANS LE METABOLISME DES APOLIPOPROTEINES ET DES ENZYMES DU METABOLISME DES MEDICAMENTS.;EA3117;Inactive;1999;2000;Unité propre;21;2;;;;
199914435Z;PHYSIOLOGIE CELLULAIRE DES INVERTEBRES (unit;EA3126;Inactive;1999;2000;Unité propre;21;2;;;;
200014505W;EQUIPE DE RECHERCHE SUR LA DIVERSITE LITTERAIRE ET LINGUISTIQUE DU MONDE FRANCOPHONE;EA3207;Inactive;2000;2009;Unité propre;21;2;;;;
200014509A;PHYSIOLOGIE DU COMPORTEMENT DES CEPHALOPODES;EA3211;Inactive;2000;2007;Unité propre;21;2;200815496N;EF;éclatement - fusion;2008
200014512D;MATRICE EXTRACELLULAIRE ET PATHOLOGIQUES;EA3214;Inactive;2000;2011;Unité propre;21;2;201220077A;F;fusion;2012
200014515G;LABORATOIRE DE MECANIQUE DES STRUCTURES ET MATERIAUX (GROUPE DE RECHERCHE GENIE CIVIL RENNES) ( LMSM);EA3217;Inactive;2000;2003;Unité propre;21;2;200415172D;F;fusion;2004
200014517J;LABORATOIRE D INFORMATIQUE DU HAVRE (LIH);EA3219;Inactive;2000;2005;Unité propre;21;2;200615352R;F;fusion;2006
200014519L;UNITE DE RECHERCHE EN CHIMIE ORGANIQUE ET MACROMOLECULAIRE - EA 3221;URCOM;Active;2000;;Unité propre;21;2;;;;
200014525T;EQUIPE DE RECHERCHES SUR LES AIRES CULTURELLES;EA3227;Inactive;2000;2003;Unité propre;21;2;"200416093E;200416094F";"E;E";"éclatement;éclatement";"2004;2004"
200014526U;PSYCHOLOGIE DES REGULATIONS INDIVIDUELLES ET SOCIALES (PRIS);EA3228;Inactive;2000;2003;Unité propre;21;2;;;;
200014528W;CENTRE DE RECHERCHE ET D'ETUDES EN GESTION DES ORGANISATIONS (CREGO);EA3230;Inactive;2000;2007;Unité propre;21;2;;;;
200114697A;CENTRE DE RECHERCHE SUR LES PAYS LUSOPHONES;CREPAL;Active;2001;;Unité propre;21;2;;;;
200114698B;OBSERVATOIRE DE LA POLITIQUE ETRANGERE AMERICAINE (OPEA);EA3422;Inactive;2001;2004;Unité propre;21;2;;;;
200114665R;CENTRE D'ETUDES SUR LES MEDIAS, LES TECHNOLOGIES ET L'INTERNATIONALISATION;CEMTI;Active;2001;;Unité propre;21;2;;;;
200114669V;EQUIPE DE RECHERCHE SUR LA GESTION DES ORGANISATIONS (ERGO);EA3392;Inactive;2001;2004;Unité propre;21;2;;;;
200114679F;INSTITUT DE PHONETIQUE DE STRASBOURG;EA3403;Inactive;2001;2004;Unité propre;21;2;;;;
200114680G;DROIT CANONIQUE;EA3404;Inactive;2001;2008;Unité propre;21;2;;;;
200114690T;LINGUISTIQUE ANGLAISE;EA3414;Inactive;2001;2004;Unité propre;21;2;;;;
200114693W;CENTRE D' ÉTUDES ET DE RECHERCHE SUR LA LITTÉRATURE ITALIENNE MÉDIÉVALE MODERNE ET CONTEMPORAINE;CERLIMMC;Inactive;2001;2013;Unité propre;21;2;;;;
200014474M;BIOLOGIE MOLECULAIRE ET CELLULAIRE DES MICROORGANISMES;EA3175;Inactive;2000;2011;Unité propre;21;2;;;;
200014480U;Carcinogenèse associée aux HPV : facteurs prédictifs et pronostiques;EA3181;Active;2000;;Unité propre;21;2;;;;
200014487B;LABORATOIRE DE PSYCHOLOGIE;EA3188;Active;2000;;Unité propre;21;2;;;;
200014491F;INTEGRATION DE DONNEES MULTIMEDIA EN ANATOMIE ET PHYSIOLOGIE CEREBRALE POUR L AIDE A LA DECISION ET L ENSEIGNEMENT;EA3192;Inactive;2000;2007;Unité propre;21;2;;;;
200014492G;ECOBIOLOGIE DES INSECTES PARASITOIDES;EA3193;Inactive;2000;2007;Unité propre;21;2;;;;
200214835W;LEXICOGRAPHIE ET LINGUISTIQUE ROMANE;EA3560;Inactive;2002;2005;Unité propre;21;2;200615326M;F;fusion;2006
200214836X;CENTRE INTERDISCIPLINAIRE DE RECHERCHE SUR LA CONSTRUCTION IDENTITAIRE;EA3561;Inactive;2002;2009;Unité propre;21;2;;;;
200214845G;"ECOLOGIE NUMERIQUE ET ECOTOXICOLOGIE ""INDICATEURS DE QUALITE DES SOLS ET DES ECOSYSTEMES AQUATIQUES""";EA3570;Inactive;2002;2005;Unité propre;21;2;;;;
200214846H;LABORATOIRE DE GENIE DES PROCEDES D'INTERACTION FLUIDES REACTIFS MATERIAUX (GEPIFREM);EA3571;Inactive;2002;2009;Unité propre;21;2;;;;
200214851N;CENTRE DE RECHERCHES RUSSES ET EURO-ASIATIQUES (CRREA);EA3576;Inactive;2002;2009;Unité propre;21;2;;;;
200214853R;TRADITIONS MANUSCRITES DU POURTOUR MEDITERRANEEN;EA3578;Inactive;2002;2005;Unité propre;21;2;;;;
200314932X;LABORATOIRE DE PSYCHOLOGIE CLINIQUE ET SOCIALE (LPCS);EA3658;Inactive;2003;2006;Unité propre;21;2;"200715420K;200716165V";"EF;E";"éclatement - fusion;éclatement";"2007;2007"
200314934Z;UNITE DE MOLECULES D'INTERET BIOLOGIQUE;EA3660;Inactive;2003;2011;Unité propre;21;2;;;;
200314936B;PHYSIOLOGIE MITOCHONDRIALE;EA3664;Inactive;2003;2004;Unité propre;21;2;;;;
200314937C;BIOLOGIE CELLULAIRE ET MOLECULAIRE DE L'AUDITION;EA3665;Inactive;2003;2006;Unité propre;21;2;;;;
200314939E;INFECTIONS BACTERIENNES CHRONIQUES ET CANCER. LE MODELE HELICOBACTER;EA3667;Inactive;2003;2006;Unité propre;21;2;;;;
200314945L;LABORATOIRE DE GENIE DES PROCEDES ET ENVIRONNEMENT;EA3673;Inactive;2003;2006;Unité propre;21;2;;;;
200314946M;BIOLOGIE DE LA DIFFERENCIATION ET DU DEVELOPPEMENT;EA3674;Inactive;2003;2006;Unité propre;21;2;;;;
200314951T;ELECTRONIQUE INFORMATIQUE AUTOMATIQUE SYSTEMES - ELIAUS -;EA3679;Inactive;2003;2010;Unité propre;21;2;;;;
200314952U;MATHEMATIQUES ET PHYSIQUE POUR LES SYSTEMES (MEPS);EA3680;Inactive;2003;2006;Unité propre;21;2;;;;
200314954W;CENTRE D'ETUDES ET DE RECHERCHES SUR LES TRANSFORMATIONS DE L'ACTION PUBLIQUE (CERTAP);EA3682;Inactive;2003;2006;Unité propre;21;2;;;;
200114735S;CENTRE DE RECHERCHES SUR L'ART,  PHILOSOPHIE, ESTHETIQUE (CREART-PHI);EA3459;Inactive;2001;2008;Unité propre;21;2;;;;
200114736T;PSYCHOLOGIE CLINIQUE ET PSYCHOPATHOLOGIE. CORPS, LIENS, CULTURE (CLIPSY);EA3460;Inactive;2001;2008;Unité propre;21;2;;;;
200114740X;CENTRE DE RECHERCHE SUR LES CULTURES EUROPENNES (CERCLE);EA3464;Inactive;2001;2004;Unité propre;21;2;;;;
200114742Z;DYNAMIQUE ET AMENAGEMENT DES ESPACES PERIURBAINS, RURAUX ET URBAINS (DYAME);EA3466;Inactive;2001;2004;Unité propre;21;2;;;;
200114747E;LABORATOIRE DE CHIMIE APPLIQUEE, SYNTHESE, PROCEDES ET PRODUITS;EA3471;Inactive;2001;2004;Unité propre;21;2;;;;
200114754M;LABORATOIRE LORRAIN DE SCIENCES SOCIALES;2L2S;Active;2001;;Unité propre;21;2;;;;
200114759T;POÉTIQUES MODERNES ET ÉCHANGES INTERCULTURELS;EA3483;Inactive;2001;2008;Unité propre;21;2;;;;
200114763X;CENTRE DE RECHERCHES EUROPEEN DE DROIT DES OBLIGATIONS (CREDO);EA3487;Inactive;2001;2008;Unité propre;21;2;;;;
200114765Z;GENETIQUE, EPIDEMIOLOGIE, PATHOGENESE ET THERAPEUTIQUE DES AGENTS VIRAUX;EA3489;Inactive;2001;2004;Unité propre;21;2;;;;
200114769D;GENOTOXICOLOGIE DES TUMEURS;EA3493;Inactive;2001;2004;Unité propre;21;2;;;;
200114778N;ORIENTALISME ET SCIENCES HUMAINES;EA3503;Inactive;2001;2008;Unité propre;21;2;;;;
200114779P;LABORATOIRE D'ANTHROPOLOGIE VISUELLE ET SONORE DU MONDE CONTEMPORAIN;EA3504;Inactive;2001;2004;Unité propre;21;2;;;;
200114792D;LABORATOIRE UNIVERSITAIRE D'IMMUNOPATHOLOGIE;EA3517;Inactive;2001;2004;Unité propre;21;2;200515221C;EF;éclatement - fusion;2005
200114803R;DEVELOPPEMENT ET VIEILLISSEMENT DE L'ENDOTHELIUM;EA3528;Inactive;2001;2002;Unité propre;21;2;;;;
200114804S;CENTRE DE RECHERCHE EN INFORMATION ET COMMUNICATION  (CRIC);EA3529;Inactive;2001;2002;Unité propre;21;2;;;;
200415164V;EPISTÉMOLOGIE, HISTOIRE DES SCIENCES BIOLOGIQUES ET MÉDICALES;EA3905;Inactive;2004;2007;Unité propre;21;2;200815525V;F;fusion;2008
200415171C;POUVOIRS, TERRITOIRES ET ETHNOPAYSAGES DE L'ANTIQUITÉ À LA FIN DE L'ÉPOQUE MODERNE;EA3912;Inactive;2004;2007;Unité propre;21;2;200815521R;F;fusion;2008
200415174F;CENTRE D'ETUDES ET DE RECHERCHE SUR LE MEDICAMENT DE NORMANDIE;EA3915;Inactive;2004;2007;Unité propre;21;2;"200815495M;200815496N";"R;EF";"renouvellement;éclatement - fusion";"2008;2008"
200415180M;OPTIMISATION MÉTABOLIQUE ET CELLULAIRE;EA3921;Inactive;2004;2007;Unité propre;21;2;200815504X;F;fusion;2008
200415181N;ESTROGÈNES, EXPRESSION GÉNIQUE ET PATHOLOGIES DU SYSTÈME NERVEUX CENTRAL;EA3922;Inactive;2004;2016;Unité mixte;22;2;;;;
200415183R;SCIENCES SÉPARATIVES ET BIOPHARMACEUTIQUES;EA3924;Inactive;2004;2007;Unité propre;21;2;200815504X;F;fusion;2008
200415185T;LGI2A - LABORATOIRE DE GENIE INFORMATIQUE ET D'AUTOMATIQUE DE L'ARTOIS;UR 3926;Active;2004;;Unité propre;21;2;;;;
200315027A;CENTRE HISTORIQUE DE RECHERCHES ET D'ETUDES MEDIEVALES SUR LA MEDITERRANNEE OCCIDENTALE;EA3764;Inactive;2003;2006;Unité propre;21;2;200715446N;EF;éclatement - fusion;2007
200315028B;HELLENISME RUPTURES ET CONTINUITES;EA3765;Inactive;2003;2004;Unité propre;21;2;;;;
200315031E;DIFFERENCIATION, PATHOLOGIE ET CELLULES SOUCHES DANS LE FOIE;EA3768;Inactive;2003;2006;Unité propre;21;2;;;;
200415044P;ETHIQUE ET PHILOSOPHIE DE LA MÉDECINE ET DE LA BIOLOGIE;EA3783;Inactive;2004;2011;Unité propre;21;2;201220350X;EF;éclatement - fusion;2012
200415050W;UNITÉ DE RECHERCHE THÉÂTRALE;EA3789;Inactive;2004;2005;Unité propre;21;2;;;;
200415059F;PHYSIOPATHOLOGIE CELLULAIRE, ET DYSIMMUNITAIRE HUMAINE/APPROCHE THERAPEUTIQUE ET NANO TECHNOLOGIQUE;EA3798;Inactive;2004;2011;Unité propre;21;2;201220208T;EF;éclatement - fusion;2012
200415066N;CYTOKINES ET INFLAMMATION;EA3806;Inactive;2004;2007;Unité propre;21;2;200815560H;EF;éclatement - fusion;2008
200415070T;PSYCHOPATHOLOGIE CLINIQUE;EA3810;Inactive;2004;2005;Unité propre;21;2;200615297F;F;fusion;2006
200415071U;HELLENISATION ET ROMANISATION DANS LE MONDE ANTIQUE : IDENTITES ET PHENOMENES INTERCULTURELS;HERMA;Active;2004;;Unité propre;21;2;;;;
200415077A;LABORATOIRE DE NEURO PHYSIQUE CELLULAIRE;EA3817;Inactive;2004;2009;Unité propre;21;2;;;;
200415078B;INSTITUT PIERRE PESCATORE DROITS, LIBERTES, EUROPE ET GLOBALISATION;EA3818;Active;2004;;Unité propre;21;2;;;;
200415091R;GROUPE DE RECHERCHE D'HISTOIRE;GRHIS;Active;2004;;Unité propre;21;2;;;;
200415098Y;DEVENIR DES EFFETS XENOBIOTIQUES DANS L'ORGANISME;EA3838;Inactive;2004;2007;Unité propre;21;2;;;;
200415101B;PHYSIOLOGIE ET PHARMACOLOGIE VASCULAIRE ET RÉNALE;EA3841;Inactive;2004;2007;Unité propre;21;2;;;;
200415108J;PHARMACOLOGIE FONDAMENTALE ET CLINIQUE DE LA DOULEUR;EA3848;Inactive;2004;2007;Unité propre;21;2;;;;
200415111M;INTERTRAD TRANSFÉRER ET TRADUIRE DANS L'INTERCULTURALITÉ;EA3851;Inactive;2004;2007;Unité propre;21;2;200815467G;F;fusion;2008
200415114R;BACTERIES ET RISQUE MATERNO-FOETAL;EA3854;Inactive;2004;2011;Unité propre;21;2;201220248L;EF;éclatement - fusion;2012
200214862A;ULR 3587 - CEAC - CENTRE D'ETUDE DES ARTS CONTEMPORAINS (EA3587);;Active;1996;;Unité propre;21;2;;;;
200214869H;CENTRE D'ETUDES ET DE RECHERCHES APPLIQUEES AUX LANGUES, LITTERATURES ET CULTURES COMPAREES (CERALEC);EA3594;Inactive;2002;2005;Unité propre;21;2;;;;
200214870J;GROUPE D'ETUDES ET DE RECHERCHES EN ESPACE CREOLOPHONE ET FRANCOPHONE (GEREC-F);EA3595;Inactive;2002;2005;Unité propre;21;2;;;;
200214871K;ADAPTATION, CLIMAT TROPICAL, EXERCICE ET SANTE;ACTES;Active;2002;;Unité propre;21;2;;;;
200214874N;LABORATOIRE DE GEOMORPHOLOGIE DYNAMIQUE ET AMENAGEMENT DES LITTORAUX (GEODAL);EA3599;Inactive;2002;2007;Unité propre;21;2;200812834V;F;fusion;2008
200214880V;"CENTRE DE RECHERCHE EN LINGUISTIQUE FRANCAISE ""GRAMMATICA""";EA3606;Inactive;2002;2005;Unité propre;21;2;;;;
200214901T;OBSERVATOIRE DES RELATIONS INTERNATIONALES DU DEVELOPPEMENT ET DE LA FRANCOPHONIE;EA3627;Inactive;2002;2007;Unité propre;21;2;;;;
200214917K;Centre de recherche Versailles Saint-Quentin institutions publiques;VIP;Active;2002;;Unité propre;21;2;;;;
200214920N;PHYSIOPATHOLOGIE ET  PHARMACOLOGIE CLINIQUE DE LA DOULEUR;EA3646;Inactive;2002;2005;Unité propre;21;2;;;;
200314991L;CENTRE DE RECHERCHE EN HISTOIRE;EA3722;Inactive;2003;2010;Unité propre;21;2;;;;
200314992M;INSTITUT D'ETUDES REGIONALES ET DU PATRIMOINE;EA3723;Inactive;2003;2010;Unité propre;21;2;;;;
200315000W;GENOME ET EVOLUTION DES PLANTES SUPERIEURES;EA3731;Inactive;2003;2006;Unité propre;21;2;;;;
200315004A;UNITE DE RECHERCHE SUR L'HEMOPHILIE ET LES MALADIES HEMORRAGIQUES CONSTITUTIONNELLES;EA3735;Inactive;2003;2006;Unité propre;21;2;200715414D;R;renouvellement;2007
199318200T;Unité de Rétrovirologie moléculaire;24917;Inactive;1993;2006;Unité mixte;22;2;;;;
200919246K;LABORATOIRE CHARLES FRIEDEL;UMR7223;Inactive;2009;2013;Unité mixte;22;2;"200919210W;201420753B";"I;EF";"intégration;éclatement - fusion";"2014;2014"
200919248M;LABORATOIRE D'ANALYSE ET MODELISATION DE SYSTEMES POUR L'AIDE A LA DECISION (LAMSADE);FRE3234;Inactive;2009;2010;Unité mixte;22;2;201120462Y;R;renouvellement;2011
200418395G;modèles et méthodes pour l'analyse et l'optimisation des systèmes temps réel embarqués;AOSTE;Inactive;2004;2016;Unité propre;21;2;;;;
200218402Y;Optimisation et contrôle, algorithmiques numériques et intégration de systèmes complexes multidisciplinaires régis par des EDP;OPALE;Inactive;2002;2014;Unité propre;21;2;;;;
200418901G;Laboratoire Physiologie et Biotechnologie des Algues;PDG-DOP-DCN-BRM-PBA;Inactive;2004;2015;Unité propre;21;2;;;;
200918906R;Departement Recherches et Developpements Technologiques;PDG-DOP-DCB-RDT;Inactive;2009;2011;Unité propre;21;2;;;;
200418911T;Laboratoire Geochimie et Metallogenie;PDG-DOP-DCB-GM-LGM;Inactive;2004;2011;Unité propre;21;2;;;;
200418912U;Departement Geosciences Marines;PDG-DOP-DCB-GM;Inactive;2004;2011;Unité propre;21;2;;;;
200417456L;LABORATOIRE D'INFORMATIQUE DE L'UNIVERSITE DE FRANCHE-COMTE (LIFC);FRE2661;Inactive;2004;2006;Unité mixte;22;2;;;;
200217488E;C3ED - CENTRE D'ECONOMIE ET D'ETHIQUE POUR L'ENVIRONNEMENT ET LE DEVELOPPEMENT;UMR_D63;Inactive;2002;2009;Unité mixte;22;2;;;;
200417493B;LABORATOIRE DE CHIMIE INORGANIQUE ET BIOLOGIQUE;UMR_E3;Inactive;2004;2017;Unité mixte;22;2;;;;
200217498R;PROCHE-ORIENT, CAUCASE, IRAN: DIVERSITES ET CONTINUITES;FRE2454;Inactive;2002;2006;Unité mixte;22;2;;;;
200317503S;Laboratoire d'Informatique du Parallélisme;LIP;Active;1999;;Unité mixte;22;2;;;;
200919280X;REPONSE IMMUNITAIRE CHEZ LES MOUSTIQUES / IMMUNE RESPONSE IN MOSQUITOES (U 1257 (ex ERL 963));MIR;Active;2009;;Unité mixte;22;2;;;;
199619292S;LABORATOIRE DU CENTRE DE RECHERCHE ET DE RESTAURATION DES MUSEES DE FRANCE;;Inactive;1996;2011;Unité mixte;22;2;;;;
200319296R;CENTRE DE RECHERCHE EN PHARMACOLOGIE - SANTE;CRPS;Inactive;2003;2010;Unité mixte;22;2;;;;
200419298N;Groupe de recherche en économie et statistique;GRECSTA;Inactive;2004;2014;Unité propre;21;2;;;;
200919303X;LABORATOIRE POLYMERES ET MATERIAUX AVANCES;LPMA;Inactive;2009;2020;Unité mixte;22;2;;;;
198419310N;LABORATOIRE DE PHOTONIQUE ET DE NANOSTRUCTURES;;Inactive;1984;2016;Unité propre;21;2;201622200R;I;intégration;2017
200817619W;CENTRE DE RECHERCHE ET D'APPLICATIONS SUR LES THERAPIES GENIQUES: GENETHON;FRE3087;Inactive;2008;2009;Unité mixte;22;2;;;;
200417622S;IMMUNOLOGIE DES MALADIES INFECTIEUSES, ALLERGIQUES ET AUTOIMMUNES;EMI344;Inactive;2004;2007;Unité mixte;22;2;;;;
200817625C;PHARMACOLOGIE ET FORMULATION DE GAZ-MEDICAMENTS;ERTint1083;Inactive;2008;2011;Equipe interne;1;1;;;;
