numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200415058E;Vieillissement, Fragilité;VieFra;Active;2004;;Unité propre;21;2;;;;
200415065M;CELLULES SOUCHES LEUCÉMIQUES ET THÉRAPEUTIQUES;EA3805;Inactive;2004;2008;Unité propre;21;2;201019169X;R;renouvellement;2009
200415073W;LABORATOIRE DES ADAPTATIONS PHYSIOLOGIQUES AUX ACTIVITES PHYSIQUES;EA3813;Inactive;2004;2009;Unité propre;21;2;;;;
200415079C;PROCESSUS DE TRANSFERTS ET D'ÉCHANGES DANS L'ENVIRONNEMENT - EA 3819;PROTEE-;Inactive;2004;2017;Unité propre;21;2;;;;
200415080D;LABORATOIR DES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION;SICLAB;Active;2004;;Unité mixte;22;2;;;;
200415089N;MICROENVIRONNEMENT ET RENOUVELLEMENT CELLULAIRE INTÉGRÉ;MERCI;Inactive;2004;2016;Unité propre;21;2;200816534S;I;intégration;2017
200415092S;CENTRE D'ETUDES DES TRANSFORMATIONS DES ACTIVITES PHYSIQUES ET SPORTIVES;CETAPS;Active;2004;;Unité propre;21;2;;;;
200415094U;MATERIAUX A FINALITES SPECIFIQUES;EA3834;Inactive;2004;2007;Unité propre;21;2;200812293G;EF;éclatement - fusion;2008
200415099Z;UNITÉ DE MÉDECINE MOLÉCULAIRE HUMAINE;EA3839;Inactive;2004;2005;Unité propre;21;2;200615273E;F;fusion;2006
200415100A;CENTRE D'ÉTUDES ET DE RECHERCHES HISTORIQUES DE LIMOGES;EA3840;Inactive;2004;2007;Unité propre;21;2;;;;
200415113P;IMMUNO-PHARMACO-GENETIQUE DES ANTICORPS THERAPEUTIQUES;EA3853;Inactive;2004;2007;Unité propre;21;2;200812280T;EF;éclatement - fusion;2008
200415117U;LABORATOIRE DE SYNTHÈSE ET PHYSICOCHIMIE ORGANIQUE ET THÉRAPEUTIQUE;EA3857;Inactive;2004;2007;Unité propre;21;2;"200812280T;200815481X";"EF;EF";"éclatement - fusion;éclatement - fusion";"2008;2008"
200415120X;CARDIOPROTECTION, REMODELAGE ET THROMBOSE;CRT;Inactive;2004;2016;Unité propre;21;2;201722262D;F;fusion;2017
200214857V;VILLE MOBILITES TRANSPORTS;EA3582;Inactive;2002;2005;Unité propre;21;2;;;;
200214863B;GROUPE DE RECHERCHE SUR L'APPRENTISSAGE AUTOMATIQUE (GRAPPA);EA3588;Inactive;2002;2005;Unité propre;21;2;;;;
200214873M;PROCEDES D'ELABORATION DE REVETEMENTS FONCTIONNELS (PERF);EA3598;Inactive;2002;2005;Unité propre;21;2;;;;
200214876R;CENTRE DE RECHERCHES EN HISTOIRE ATLANTIQUE ET LITTORALE (CRHAEL);EA3602;Inactive;2002;2005;Unité propre;21;2;;;;
200214878T;LABORATOIRE RECHERCHE SUR L'INDUSTRIE ET L'INNOVATION;EA3604;Inactive;2002;2007;Unité propre;21;2;;;;
200214879U;"CENTRE DE RECHERCHES LITTERAIRES ""IMAGINAIRE ET DIDACTIQUE"" (CRELID)";EA3605;Inactive;2002;2005;Unité propre;21;2;;;;
200214885A;LABORATOIRE D'ÉTUDES ET DE RECHERCHES EN DROIT SOCIAL;EA3611;Inactive;2002;2009;Unité propre;21;2;;;;
200214886B;INSTITUT DE RECHERCHE SUR L'EVOLUTION DE L'ENCADREMENT NORMATIF DES ACTIVITES TRANSNATIONALES (IREENAT);EA3612;Inactive;2002;2009;Unité propre;21;2;;;;
200214889E;LABORATOIRE D'INFORMATIQUE DE CERGY PONTOISE LICP;EA3615;Inactive;2002;2005;Unité propre;21;2;;;;
200214893J;LABORATOIRE D'ONCOLOGIE ET VIROLOGIE MOLECULAIRE;EA3619;Inactive;2002;2007;Unité propre;21;2;;;;
200214895L;BIOLOGIE DES MALADIES A PRIONS ET REGULATIONS CELLULAIRES;EA3621;Inactive;2002;2009;Unité propre;21;2;;;;
200214897N;SIGNALISATION ET PARASITES;EA3623;Inactive;2002;2005;Unité propre;21;2;;;;
200214902U;CENTRE D'ETUDES BYZANTINES, NEO-HELLENIQUES ET SUD-EST EUROPEENNES;EA3628;Inactive;2002;2005;Unité propre;21;2;;;;
200214903V;CENTRE DE RECHERCHE SUR L'AMERIQUE PREHISPANIQUE;EA3629;Inactive;2002;2005;Unité propre;21;2;;;;
200214905X;CENTRE D'HISTOIRE ET THEORIE DES ARTS;EA3631;Inactive;2002;2005;Unité propre;21;2;;;;
200214910C;MATERIAUX POLYMERES AUX INTERFACES;EA3636;Inactive;2002;2005;Unité propre;21;2;;;;
200214913F;CONNAISSANCE DES PRODUITS VEGETAUX TROPICAUX ET VALORIATION;EA3639;Inactive;2002;2005;Unité propre;21;2;;;;
200214915H;18E - 19E SIECLES : CIRCULATION DE SAVOIRS ET DE TEXTES ENTRE L'ESPACE GERMANIQUE ET LES AUTRES PAYS EUROPEENS;EA3641;Inactive;2002;2003;Unité propre;21;2;;;;
200214921P;PHYSIOPATHOLOGIE ET DIAGNOTIC DES INFECTIONS MICROBIENNES;EPIM;Inactive;2002;2014;Unité propre;21;2;201521272L;F;fusion;2015
200314993N;CENTRE DE RECHERCHE ECONOMIQUES DE L'UNIVERSITE DE SAINT ETIENNE (CREUSET);EA3724;Inactive;2003;2006;Unité propre;21;2;;;;
200518191F;Unité de Virologie structurale;;Inactive;2005;2018;Unité propre;21;2;201922943K;R;renouvellement;2019
200118196D;Unité de Biologie des infections virales émergentes;;Inactive;2001;2013;Unité propre;21;2;201421915P;R;renouvellement;2014
